 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi
IR     GOES12  20080827  2255   13.82    80.85   162    9.9  103  64.82  0.98
IR     GOES12  20080827  2255   13.55    80.50   162    8.9   99  68.63  0.79
IR     GOES12  20080827  2255   13.47    80.46   162    9.7  101  65.38  0.99
IR     GOES12  20080827  2255   13.66    79.97   162   11.9  103  57.55  0.96
IR     GOES12  20080827  2255   13.81    79.57   175   10.8   89  65.91  0.95
IR     GOES12  20080827  2255   13.84    76.19   212    8.2   36  70.83  0.99
IR     GOES12  20080827  2255   13.73    76.13   212    8.0   40  71.86  0.99
IR     GOES12  20080827  2255   13.77    75.00   187    6.5   30  64.20  0.62
IR     GOES12  20080827  2255   13.80    74.79   187    3.5  357  51.41  0.52
IR     GOES12  20080827  2255   13.84    74.30   175   11.4   32  56.94  0.76
IR     GOES12  20080827  2255   13.69    72.93   175    6.9   60  75.78  0.54
IR     GOES12  20080827  2255   13.85    70.05   212    7.8   45  69.30  0.83
IR     GOES12  20080827  2255   13.56    67.34   150   14.2    4  54.27  0.75
IR     GOES12  20080827  2255   13.72    65.34   225    7.5   56  58.13  0.91
IR     GOES12  20080827  2255   13.65    65.11   200    9.1   58  54.16  0.69
IR     GOES12  20080827  2255   13.85    63.34   162   12.3   44  72.65  0.96
IR     GOES12  20080827  2255   13.44    63.28   162   13.6   48  71.84  0.97
IR     GOES12  20080827  2255   13.59    62.83   175    8.8   49  56.33  0.82
IR     GOES12  20080827  2255   13.75    62.60   137    9.6   51  61.95  0.90
IR     GOES12  20080827  2255   13.83    62.28   137    8.9   52  58.73  0.87
IR     GOES12  20080827  2255   13.76    61.71   137   14.1   50  63.45  0.99
IR     GOES12  20080827  2255   13.76    61.49   137   13.1   50  68.92  0.98
IR     GOES12  20080827  2255   13.65    61.19   262    7.9   46  78.64  0.64
IR     GOES12  20080827  2255   13.26    82.66   187   12.0   72  66.28  0.93
IR     GOES12  20080827  2255   13.18    82.51   187    8.3   62  63.04  0.97
IR     GOES12  20080827  2255   13.37    82.13   225    7.6   66  69.78  0.96
IR     GOES12  20080827  2255   13.29    81.61   162    7.2   78  69.47  0.90
IR     GOES12  20080827  2255   13.29    81.40   162    8.1   96  73.80  0.98
IR     GOES12  20080827  2255   13.09    80.19   150    5.7   89  59.42  0.98
IR     GOES12  20080827  2255   13.05    79.70   175    9.0   68  66.79  0.79
IR     GOES12  20080827  2255   13.24    79.30   250    6.1   81  68.61  0.67
IR     GOES12  20080827  2255   12.82    78.50   200   11.1   58  71.02  0.99
IR     GOES12  20080827  2255   13.12    77.15   200    9.3   50  69.69  0.84
IR     GOES12  20080827  2255   13.24    76.87   200    8.0   58  64.78  0.92
IR     GOES12  20080827  2255   13.20    76.36   212    9.8   49  80.16  0.99
IR     GOES12  20080827  2255   13.01    76.12   212    9.8   50  77.34  0.98
IR     GOES12  20080827  2255   13.08    75.38   212    8.2   48  71.53  0.88
IR     GOES12  20080827  2255   13.01    75.19   225    9.3   38  74.99  0.89
IR     GOES12  20080827  2255   12.98    69.77   200   14.6   28  46.64  0.73
IR     GOES12  20080827  2255   12.87    69.62   137   13.7   32  46.56  0.78
IR     GOES12  20080827  2255   13.18    67.40   137   13.5   23  60.21  0.96
IR     GOES12  20080827  2255   13.03    66.70   175   13.2   38  66.03  0.67
IR     GOES12  20080827  2255   13.11    66.61   200   13.2   39  66.57  0.70
IR     GOES12  20080827  2255   13.32    64.19   187   15.8   51  62.15  0.62
IR     GOES12  20080827  2255   12.98    63.70   187   15.3   47  78.11  1.00
IR     GOES12  20080827  2255   13.25    63.33   162   15.1   45  76.96  1.00
IR     GOES12  20080827  2255   13.40    63.26   162   13.6   48  72.19  0.97
IR     GOES12  20080827  2255   13.25    62.96   175   11.1   48  61.88  0.90
IR     GOES12  20080827  2255   13.06    62.36   175    9.4   59  53.48  0.97
IR     GOES12  20080827  2255   12.92    62.10   162   13.3   53  68.35  1.00
IR     GOES12  20080827  2255   13.15    61.73   212   14.6   44  63.55  0.99
IR     GOES12  20080827  2255   13.11    61.64   225   14.5   43  61.48  1.00
IR     GOES12  20080827  2255   12.35    82.95   187   12.2   79  72.82  0.94
IR     GOES12  20080827  2255   12.50    82.74   187   11.9   77  72.74  0.93
IR     GOES12  20080827  2255   12.54    82.38   175   11.9   81  67.32  0.98
IR     GOES12  20080827  2255   12.72    81.98   150    9.8   83  67.03  0.69
IR     GOES12  20080827  2255   12.72    81.92   150    9.9   84  67.01  0.69
IR     GOES12  20080827  2255   12.57    81.35   187    6.8   88  61.11  0.97
