 type   sat      day     hms     lat     lon     pre   spd   dir
WV11   GOES12  20050825  2245   25.85    85.76   150    5.0  102
WV11   GOES12  20050825  2245   25.73    84.80   150    8.6  100
WV11   GOES12  20050825  2245   25.43    71.38   375    7.0   24
WV11   GOES12  20050825  2245   25.44    70.77   400    6.6   24
WV11   GOES12  20050825  2245   25.06    94.02   212   12.3   73
WV11   GOES12  20050825  2245   25.37    93.63   212   13.3   75
WV11   GOES12  20050825  2245   25.15    93.04   212   12.0   78
WV11   GOES12  20050825  2245   25.34    92.09   300   14.2   81
WV11   GOES12  20050825  2245   24.88    90.50   325   11.3   89
WV11   GOES12  20050825  2245   25.18    89.90   187   20.8  101
WV11   GOES12  20050825  2245   25.16    88.84   200   14.7  110
WV11   GOES12  20050825  2245   25.04    87.97   237   11.0  119
WV11   GOES12  20050825  2245   24.71    87.51   237   10.3  108
WV11   GOES12  20050825  2245   25.23    86.63   225    9.3   92
WV11   GOES12  20050825  2245   24.88    84.61   175    9.1   94
WV11   GOES12  20050825  2245   25.12    71.70   312    8.5   21
WV11   GOES12  20050825  2245   24.91    70.79   375    6.6   35
WV11   GOES12  20050825  2245   24.35    94.98   337   10.1  101
WV11   GOES12  20050825  2245   24.32    93.87   175   10.3   62
WV11   GOES12  20050825  2245   24.62    93.27   175   11.7   72
WV11   GOES12  20050825  2245   24.49    86.65   162    9.8  110
WV11   GOES12  20050825  2245   23.82    94.99   350    8.3  103
WV11   GOES12  20050825  2245   23.71    94.53   137    9.6   87
WV11   GOES12  20050825  2245   23.58    93.52   137    9.3   66
WV11   GOES12  20050825  2245   23.47    88.40   350    5.7  136
WV11   GOES12  20050825  2245   23.76    86.98   175   12.2  122
WV11   GOES12  20050825  2245   23.23    86.10   162   15.0  108
WV11   GOES12  20050825  2245   22.77    94.36   175    5.2   76
WV11   GOES12  20050825  2245   22.76    94.03   275    5.6   83
WV11   GOES12  20050825  2245   23.05    93.21   325    8.1   69
WV11   GOES12  20050825  2245   22.79    90.72   287    4.0  108
WV11   GOES12  20050825  2245   22.62    87.16   275    9.4  127
WV11   GOES12  20050825  2245   22.46    94.63   275    4.4   83
WV11   GOES12  20050825  2245   22.23    93.72   275    4.8   87
WV11   GOES12  20050825  2245   22.21    92.43   162    4.1   81
WV11   GOES12  20050825  2245   21.90    86.98   350   11.2  127
WV11   GOES12  20050825  2245   21.89    86.27   162   16.8  108
WV11   GOES12  20050825  2245   21.33    94.54   287    5.5   96
WV11   GOES12  20050825  2245   21.53    94.14   300    5.2   92
WV11   GOES12  20050825  2245   21.07    91.63   137   13.1  123
WV11   GOES12  20050825  2245   21.48    85.83   162   17.6  106
WV11   GOES12  20050825  2245   20.99    74.93   312    6.8   16
WV11   GOES12  20050825  2245   20.72    94.65   137    4.6  101
WV11   GOES12  20050825  2245   20.53    82.56   200   10.7   94
WV11   GOES12  20050825  2245   20.42    81.76   137   14.3   64
WV11   GOES12  20050825  2245   20.50    78.83   175   11.6   67
WV11   GOES12  20050825  2245   20.39    73.37   237   13.6   12
WV11   GOES12  20050825  2245   20.20    93.93   312    4.1  112
WV11   GOES12  20050825  2245   20.18    92.77   300    7.1   65
WV11   GOES12  20050825  2245   19.75    91.46   137   15.8  111
WV11   GOES12  20050825  2245   20.03    82.82   175   10.1  100
WV11   GOES12  20050825  2245   20.03    82.53   200   10.4   99
WV11   GOES12  20050825  2245   19.72    81.14   150   27.9   67
WV11   GOES12  20050825  2245   19.71    79.48   150   19.3   63
WV11   GOES12  20050825  2245   19.59    74.35   262    9.6   29
WV11   GOES12  20050825  2245   19.39    93.39   162    8.9   60
WV11   GOES12  20050825  2245   19.27    92.54   162    9.8   58
WV11   GOES12  20050825  2245   19.16    91.79   150   10.6   71
WV11   GOES12  20050825  2245   18.39    93.36   137    9.8   62
WV11   GOES12  20050825  2245   18.38    86.16   150   24.7  105
WV11   GOES12  20050825  2245   18.58    85.68   150   25.3   98
WV11   GOES12  20050825  2245   18.37    85.07   137   24.1   92
WV11   GOES12  20050825  2245   18.45    83.51   137   21.0   89
WV11   GOES12  20050825  2245   18.55    82.83   137   19.2   95
WV11   GOES12  20050825  2245   18.64    82.06   137   18.9   93
WV11   GOES12  20050825  2245   18.60    74.35   212    5.8   31
WV11   GOES12  20050825  2245   17.91    87.61   337   13.3  114
WV11   GOES12  20050825  2245   17.89    86.42   150   24.2  109
WV11   GOES12  20050825  2245   17.78    84.64   212   18.3   94
WV11   GOES12  20050825  2245   17.78    84.54   212   19.2   93
WV11   GOES12  20050825  2245   16.83    87.02   200   19.2  109
WV11   GOES12  20050825  2245   16.92    86.24   200   19.7  103
WV11   GOES12  20050825  2245   17.39    85.49   187   17.2   95
WV11   GOES12  20050825  2245   17.29    85.10   187   16.5   98
WV11   GOES12  20050825  2245   16.73    87.01   200   18.8  106
WV11   GOES12  20050825  2245   15.49    72.01   137    9.5   52
WV11   GOES12  20050825  2245   15.68    71.06   137    9.3   39
WV11   GOES12  20050825  2245   15.11    74.83   162    7.1   52
WV11   GOES12  20050825  2245   15.11    72.39   137   10.2   55
WV11   GOES12  20050825  2245   15.20    71.54   137   10.5   45
WV11   GOES12  20050825  2245   14.82    70.98   137   11.4   41
WV11   GOES12  20050825  2245   14.45    77.64   137   15.4   51
WV11   GOES12  20050825  2245   14.35    76.98   150   16.2   51
WV11   GOES12  20050825  2245   14.44    76.23   137   14.0   54
WV11   GOES12  20050825  2245   14.44    74.27   187    9.9   59
WV11   GOES12  20050825  2245   14.53    73.61   175   10.1   55
WV11   GOES12  20050825  2245   14.34    72.68   212   11.6   52
WV11   GOES12  20050825  2245   14.63    72.21   137   10.6   56
WV11   GOES12  20050825  2245   14.25    71.56   237   12.5   51
WV11   GOES12  20050825  2245   14.25    71.18   162   12.1   47
WV11   GOES12  20050825  2245   13.92    93.65   187   16.1   72
WV11   GOES12  20050825  2245   14.01    92.85   187   15.6   74
WV11   GOES12  20050825  2245   13.90    92.13   337   13.0   80
WV11   GOES12  20050825  2245   13.80    91.22   350   13.8   84
WV11   GOES12  20050825  2245   13.88    90.73   137   11.7   89
WV11   GOES12  20050825  2245   13.88    90.24   137   12.2   92
WV11   GOES12  20050825  2245   13.68    76.69   212   14.0   50
